Type,Paper ID,Oral / Poster,Track Theme,Title,Authors Names,Presenter first name,Presenter last name,Session,Sub-session,Session Time
Accepted To,Paper ID,"Oral 
Poster",Track Theme,Title,Authors Names,Presenter first name,Presenter last name,Session,"Sub-session (ex. ML 1, ML 2, etc.)",Session time
Main,2,Poster,"Special Theme: Efficiency in Model Algorithms, Training, and Inference",UniGen: Universal Domain Generalization for Sentiment Classification via Zero-shot Dataset Generation,"Juhwan Choi(~Juhwan_Choi1),Yeonghwa Kim(~Yeonghwa_Kim1),Seunguk Yu(~Seunguk_Yu1),JungMin Yun(~JungMin_Yun3),YoungBin Kim(~YoungBin_Kim1)",Juhwan,Choi,Session 04,"Special Theme: Efficiency in Model Algorithms, Training, and Inference 2",Nov 12 (Tue) 16:00-17:30
Main,3,Poster,Resources and Evaluation,Multi-News+: Cost-efficient Dataset Cleansing via LLM-based Data Annotation,"Juhwan Choi(~Juhwan_Choi1),JungMin Yun(~JungMin_Yun3),Kyohoon Jin(~Kyohoon_Jin1),YoungBin Kim(~YoungBin_Kim1)",Juhwan,Choi,Session 11,Resources and Evaluation 5,Nov 14 (Thu) 10:30-12:00
Main,4,Poster,Summarization,FIZZ: Factual Inconsistency Detection by Zoom-in Summary and Zoom-out Document,"Joonho Yang(~Joonho_Yang1),Seunghyun Yoon(~Seunghyun_Yoon1),ByeongJeong Kim(~ByeongJeong_Kim1),Hwanhee Lee(~Hwanhee_Lee1)",Joonho,Yang,Session 04,Summarization,Nov 12 (Tue) 16:00-17:30
Main,5,Oral,Interpretability and Analysis of Models for NLP,Prompts have evil twins,"Rimon Melamed(~Rimon_Melamed1),Lucas Hurley McCabe(~Lucas_Hurley_McCabe1),Tanay Wakhare(~Tanay_Wakhare1),Yejin Kim(~Yejin_Kim4),H. Howie Huang(~H._Howie_Huang1),Enric Boix-Adserà(~Enric_Boix-Adserà1)",Rimon,Melamed,Session 12,Interpretability and Analysis of Models for NLP 6,Nov 14 (Thu) 14:00-15:30
Main,6,Poster,Question Answering,Table Question Answering for Low-resourced Indic Languages,"Vaishali Pal(~Vaishali_Pal1),Evangelos Kanoulas(~Evangelos_Kanoulas1),Andrew Yates(~Andrew_Yates2),Maarten de Rijke(~Maarten_de_Rijke1)",Vaishali,Pal,Session 04,Question Answering 1,Nov 12 (Tue) 16:00-17:30
Main,7,Poster,"Multimodality and Language Grounding to Vision, Robotics and Beyond",ImageInWords: Unlocking Hyper-Detailed Image Descriptions,"Roopal Garg(~Roopal_Garg1),Andrea Burns(~Andrea_Burns1),Burcu Karagol Ayan(~Burcu_Karagol_Ayan2),Yonatan Bitton(~Yonatan_Bitton1),Ceslee Montgomery(~Ceslee_Montgomery1),Yasumasa Onoe(~Yasumasa_Onoe1),Andrew Bunner(~Andrew_Bunner1),Ranjay Krishna(~Ranjay_Krishna1),Jason Michael Baldridge(~Jason_Michael_Baldridge1),Radu Soricut(~Radu_Soricut2)",Roopal,Garg,Session 02,"Multimodality and Language Grounding to Vision, Robotics and Beyond 1",Nov 12 (Tue) 11:00-12:30
Main,9,VPoster,Computational Social Science and Cultural Analytics,LLM-Based Agent Society Investigation: Collaboration and Confrontation in Avalon Gameplay,"Yihuai Lan(~Yihuai_Lan1),Zhiqiang Hu(~Zhiqiang_Hu3),Lei Wang(~Lei_Wang28),Yang Wang(~Yang_Wang51),Deheng Ye(~Deheng_Ye1),Peilin Zhao(~Peilin_Zhao2),Ee-Peng Lim(~Ee-Peng_Lim1),Hui Xiong(~Hui_Xiong1),Hao Wang(~Hao_Wang20)",Hao,Wang,VPoster,,
Main,11,Poster,NLP Applications,When LLMs Meets Acoustic Landmarks: An Efficient Approach to Integrate Speech into Large Language Models for Depression Detection,"Xiangyu Zhang(~Xiangyu_Zhang13),Hexin Liu(~Hexin_Liu1),Kaishuai Xu(~Kaishuai_Xu1),Qiquan Zhang(~Qiquan_Zhang1),Daijiao Liu(~Daijiao_Liu1),Beena Ahmed(~Beena_Ahmed2),Julien Epps(~Julien_Epps2)",Xiangyu,Zhang,Session 02,NLP Applications 1,Nov 12 (Tue) 11:00-12:30
Main,12,Poster,Speech Processing and Spoken Language Understanding,Speaking in Wavelet Domain: A Simple and Efficient Approach to Speed up Speech Diffusion Model,"Xiangyu Zhang(~Xiangyu_Zhang13),Daijiao Liu(~Daijiao_Liu1),Hexin Liu(~Hexin_Liu1),Qiquan Zhang(~Qiquan_Zhang1),Hanyu Meng(~Hanyu_Meng1),Leibny Paola Garcia Perera(~Leibny_Paola_Garcia_Perera1),EngSiong Chng(~EngSiong_Chng1),Lina Yao(~Lina_Yao2)",Xiangyu,Zhang,Session 06,Speech Processing and Spoken Language Understanding 1,Nov 13 (Wed) 10:30-12:00
Main,14,Poster,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Hateful Word in Context Classification,"Sanne Hoeken(~Sanne_Hoeken1),Sina Zarrieß(~Sina_Zarrieß1),Özge Alacam(~Özge_Alacam1)",Sanne,Hoeken,Session 04,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Nov 12 (Tue) 16:00-17:30
Main,15,Poster,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Eyes Don't Lie: Subjective Hate Annotation and Detection with Gaze,"Özge Alacam(~Özge_Alacam1),Sanne Hoeken(~Sanne_Hoeken1),Sina Zarrieß(~Sina_Zarrieß1)",Sanne,Hoeken,Session 04,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",Nov 12 (Tue) 16:00-17:30
Main,21,Poster,Language Modeling,NumeroLogic: Number Encoding for Enhanced LLMs' Numerical Reasoning,"Eli Schwartz(~Eli_Schwartz1),Leshem Choshen(~Leshem_Choshen1),Joseph Shtok(~Joseph_Shtok1),Sivan Doveh(~Sivan_Doveh1),Leonid Karlinsky(~Leonid_Karlinsky3),Assaf Arbelle(~Assaf_Arbelle1)",Eli,Schwartz,Session 03,,Nov 12 (Tue) 14:00-15:30
Main,22,Poster,"Ethics, Bias, and Fairness",Thinking Fair and Slow: On the Efficacy of Structured Prompts for Debiasing Language Models,"Shaz Furniturewala(~Shaz_Furniturewala1),Surgan Jandial(~Surgan_Jandial2),Abhinav Java(~Abhinav_Java1),Pragyan Banerjee(~Pragyan_Banerjee1),Simra Shahid(~Simra_Shahid1),Sumit Bhatia(~Sumit_Bhatia1),Kokil Jaidka(~Kokil_Jaidka1)",Surgan,Jandial,Session 11,"Ethics, Bias, and Fairness 4",Nov 14 (Thu) 10:30-12:00
Main,23,Poster,NLP Applications,A Usage-centric Take on Intent Understanding in E-Commerce,"Wendi Zhou(~Wendi_Zhou1),Tianyi Li(~Tianyi_Li2),Pavlos Vougiouklis(~Pavlos_Vougiouklis1),Mark Steedman(~Mark_Steedman1),Jeff Z. Pan(~Jeff_Z._Pan1)",Wendi ,Zhou,Session 02,NLP Applications 1,Nov 12 (Tue) 11:00-12:30
